Name,Major,GPA,Age
Student1,Computer Science,3.96,22
Student2,Biology,3.87,19
Student3,History,2.6,20
Student4,Computer Science,2.68,18
Student5,History,3.15,21
Student6,Biology,2.4,24
Student7,History,3.76,18
Student8,Physics,3.36,19
Student9,Physics,3.2,21
Student10,History,3.77,21
Student11,Economics,3.48,20
Student12,Biology,2.9,22
Student13,Computer Science,3.99,18
Student14,History,2.79,22
Student15,Computer Science,3.76,19
Student16,Physics,3.61,18
Student17,History,2.91,23
Student18,Economics,2.46,21
Student19,Computer Science,2.32,21
Student20,Biology,2.8,20
Student21,History,3.86,18
Student22,Economics,2.34,21
Student23,History,3.59,19
Student24,Computer Science,3.59,23
Student25,Computer Science,3.2,22
Student26,Economics,3.32,21
Student27,Physics,2.97,21
Student28,Economics,3.29,22
Student29,Physics,3.46,18
Student30,Computer Science,3.54,19
Student31,Economics,2.36,22
Student32,Economics,3.06,19
Student33,Physics,3.2,21
Student34,Physics,2.19,19
Student35,Economics,4.0,20
Student36,Economics,2.08,18
Student37,Computer Science,2.15,24
Student38,Economics,2.77,19
Student39,Economics,3.21,19
Student40,Biology,3.51,20
Student41,History,3.23,23
Student42,Computer Science,2.38,21
Student43,Biology,3.61,24
Student44,History,2.53,23
Student45,Biology,2.18,18
Student46,Biology,2.63,20
Student47,Physics,3.76,22
Student48,Biology,2.99,23
Student49,Economics,2.88,23
Student50,Biology,2.21,19
